Country,County,Latitude,Longitude
RoI,Louth,53.702342,-6.374282
RoI,Louth,54.010244,-6.402563
RoI,Louth,54.006182,-6.404217
RoI,Louth,54.003855,-6.387454
RoI,Louth,54.003329,-6.397354
RoI,Louth,54.000122,-6.412418
RoI,Louth,53.998507,-6.405068
RoI,Louth,53.988355,-6.398533
RoI,Mayo,54.116236,-9.153369
RoI,Mayo,54.11577,-9.154544
RoI,Mayo,54.115759,-9.149274
RoI,Mayo,53.667639,-8.955524
RoI,Mayo,53.627286,-9.217092
RoI,Mayo,53.622633,-9.221264
RoI,Mayo,53.762046,-8.765583
RoI,Mayo,54.222996,-9.989089
RoI,Mayo,53.8569,-9.3007
RoI,Mayo,53.854221,-9.305581
RoI,Mayo,53.8534,-9.2985
RoI,Mayo,53.959834,-8.795772
RoI,Mayo,53.722118,-8.996996
RoI,Mayo,53.9386,-8.9525
RoI,Mayo,53.8007,-9.5199
RoI,Mayo,53.8005,-9.5241
RoI,Meath,53.495491,-6.395969
RoI,Meath,53.696999,-6.247419
RoI,Meath,53.41658,-6.46339
RoI,Meath,53.415451,-6.834811
RoI,Meath,53.6584,-6.2636
RoI,Meath,53.730936,-6.888643
RoI,Meath,53.728958,-6.88217
RoI,Meath,53.722954,-6.881176
RoI,Meath,53.678649,-6.23974
RoI,Meath,53.655729,-6.687417
RoI,Meath,53.654434,-6.683919
RoI,Meath,53.651566,-6.684154
RoI,Meath,53.6477,-6.67673
RoI,Meath,53.43385,-6.47119
RoI,Meath,53.500449,-6.46761
RoI,Meath,53.558067,-6.789353
RoI,Meath,53.553891,-6.791855
RoI,Meath,53.552937,-6.761371
RoI,Monaghan,53.978095,-6.719502
RoI,Monaghan,53.973836,-6.718495
RoI,Monaghan,54.118976,-6.734236
RoI,Monaghan,54.180374,-7.232457
RoI,Monaghan,54.246923,-6.964533
RoI,Monaghan,54.2636,-6.9592
RoI,Offaly,53.192077,-7.990944
RoI,Offaly,53.09578,-7.913652
RoI,Offaly,53.090139,-7.909776
RoI,Offaly,53.340138,-7.616688
RoI,Offaly,53.345847,-7.044619
RoI,Offaly,53.343358,-7.048445
RoI,Offaly,53.275635,-7.490152
RoI,Offaly,53.273339,-7.490183
RoI,Offaly,53.270244,-7.499381
RoI,Roscommon,53.629225,-8.185662
RoI,Roscommon,53.902067,-8.584513
RoI,Roscommon,53.900165,-8.583955
RoI,Roscommon,53.62904,-8.18817
RoI,Roscommon,53.97367,-8.300383
RoI,Roscommon,53.971854,-8.30158
RoI,Roscommon,53.941292,-8.10011
RoI,Roscommon,53.768179,-8.49094
RoI,Roscommon,53.766167,-8.483368
RoI,Roscommon,53.633026,-8.189538
RoI,Roscommon,53.630837,-8.188693
RoI,Sligo,54.186644,-8.494964
RoI,Sligo,54.328887,-8.501889
RoI,Sligo,54.389519,-8.528397
RoI,Sligo,54.27203,-8.4825
RoI,Sligo,54.273682,-8.480708
RoI,Sligo,54.271302,-8.465001
RoI,Sligo,54.054302,-8.729412
RoI,Tipperary,52.479268,-8.175797
RoI,Tipperary,52.348698,-7.409999
RoI,Tipperary,52.345534,-7.41366
RoI,Tipperary,52.509038,-7.872552
RoI,Tipperary,52.355664,-7.700573
RoI,Tipperary,52.353337,-7.703744
RoI,Tipperary,52.353099,-7.7068
RoI,Tipperary,52.883989,-7.944274
RoI,Tipperary,52.475721,-8.172649
RoI,Tipperary,52.870581,-8.197698
RoI,Tipperary,52.864558,-8.189447
RoI,Tipperary,52.861526,-8.212924
RoI,Tipperary,52.956953,-7.801199
RoI,Tipperary,52.946645,-7.796595
RoI,Tipperary,52.675998,-7.821686
RoI,Tipperary,52.473217,-8.160363
RoI,Waterford,52.26604,-7.116893
RoI,Waterford,52.09105,-7.619949
RoI,Waterford,52.088374,-7.620327
RoI,Waterford,52.152969,-6.994926
RoI,Waterford,52.164062,-7.147005
RoI,Waterford,52.163684,-7.15972
RoI,Waterford,52.159399,-7.14197
RoI,Waterford,52.255957,-7.111051
RoI,Waterford,52.25426,-7.111383
RoI,Waterford,52.246699,-7.136054
RoI,Waterford,52.23685,-7.138973
RoI,Waterford,52.259815,-7.117449
RoI,Waterford,52.258851,-7.108709
RoI,Waterford,52.258789,-7.105626
RoI,Westmeath,53.427551,-7.938416
RoI,Westmeath,53.424683,-7.934554
RoI,Westmeath,53.422802,-7.942743
RoI,Westmeath,53.420872,-7.926661
RoI,Westmeath,53.410591,-7.893679
RoI,Westmeath,53.62617,-7.46709
RoI,Westmeath,53.367976,-7.498115
RoI,Westmeath,53.362824,-7.496517
RoI,Westmeath,53.452479,-7.106487
RoI,Westmeath,53.394993,-7.719377
RoI,Westmeath,53.52823,-7.352098
RoI,Westmeath,53.527025,-7.336114
RoI,Westmeath,53.523766,-7.342081
RoI,Westmeath,53.522866,-7.34717
RoI,Westmeath,53.51467,-7.342111
RoI,Wexford,52.6555,-6.6516
RoI,Wexford,52.644754,-6.227539
RoI,Wexford,52.300278,-6.45881
RoI,Wexford,52.505551,-6.569767
RoI,Wexford,52.50341,-6.57359
RoI,Wexford,52.501053,-6.570085
RoI,Wexford,52.750751,-6.202196
RoI,Wexford,52.67807,-6.289287
RoI,Wexford,52.67315,-6.29569
RoI,Wexford,52.672307,-6.299581
RoI,Wexford,52.671783,-6.292575
RoI,Wexford,52.25783,-6.456163
RoI,Wexford,52.395284,-6.943578
RoI,Wexford,52.3928,-6.9452
RoI,Wexford,52.391141,-6.928163
RoI,Wexford,52.340105,-6.463952
RoI,Wexford,52.332114,-6.461069
RoI,Wexford,52.342373,-6.464083
RoI,Wexford,52.337957,-6.460155
RoI,Wexford,52.337426,-6.46209
RoI,Wicklow,52.79884,-6.153186
RoI,Wicklow,52.796732,-6.154016
RoI,Wicklow,52.795185,-6.160669
RoI,Wicklow,52.794954,-6.159181
RoI,Wicklow,53.011805,-6.108066
RoI,Wicklow,53.204956,-6.103734
RoI,Wicklow,53.203434,-6.098695
RoI,Wicklow,53.202217,-6.107886
RoI,Wicklow,53.198448,-6.09546
RoI,Wicklow,53.19518,-6.108436
RoI,Wicklow,53.144827,-6.075772
RoI,Wicklow,52.987948,-6.051879
RoI,Wicklow,52.981676,-6.042404
RoI,Wicklow,52.983325,-6.051079
RoI,Wicklow,52.981196,-6.044072
RoI,Wicklow,52.978236,-6.038787
