Month,County,Fuel Type,Count,Year
April,Laois,Petrol or Diesel plug-in hybrid electric,8,2021
April,Laois,Diesel and electric hybrid,3,2021
April,Leitrim,Petrol and electric hybrid,2,2021
April,Leitrim,Electric,1,2021
April,Leitrim,Petrol or Diesel plug-in hybrid electric,1,2021
April,Leitrim,Diesel and electric hybrid,0,2021
April,Longford,Petrol and electric hybrid,6,2021
April,Longford,Electric,2,2021
April,Longford,Petrol or Diesel plug-in hybrid electric,0,2021
April,Longford,Diesel and electric hybrid,0,2021
April,Louth,Petrol and electric hybrid,19,2021
April,Louth,Electric,12,2021
April,Louth,Petrol or Diesel plug-in hybrid electric,9,2021
April,Louth,Diesel and electric hybrid,3,2021
April,Mayo,Petrol and electric hybrid,14,2021
April,Mayo,Electric,11,2021
April,Mayo,Petrol or Diesel plug-in hybrid electric,11,2021
April,Mayo,Diesel and electric hybrid,2,2021
April,Meath,Petrol and electric hybrid,51,2021
April,Meath,Electric,38,2021
April,Meath,Petrol or Diesel plug-in hybrid electric,29,2021
April,Meath,Diesel and electric hybrid,4,2021
April,Monaghan,Petrol and electric hybrid,3,2021
April,Monaghan,Electric,0,2021
April,Monaghan,Petrol or Diesel plug-in hybrid electric,8,2021
April,Monaghan,Diesel and electric hybrid,0,2021
April,Offaly,Petrol and electric hybrid,8,2021
April,Offaly,Electric,5,2021
April,Offaly,Petrol or Diesel plug-in hybrid electric,11,2021
April,Offaly,Diesel and electric hybrid,1,2021
April,Roscommon,Petrol and electric hybrid,10,2021
April,Roscommon,Electric,6,2021
April,Roscommon,Petrol or Diesel plug-in hybrid electric,4,2021
April,Roscommon,Diesel and electric hybrid,0,2021
April,Sligo,Petrol and electric hybrid,6,2021
April,Sligo,Electric,10,2021
April,Sligo,Petrol or Diesel plug-in hybrid electric,8,2021
April,Sligo,Diesel and electric hybrid,1,2021
April,Westmeath,Petrol and electric hybrid,13,2021
April,Westmeath,Electric,13,2021
April,Westmeath,Petrol or Diesel plug-in hybrid electric,14,2021
April,Westmeath,Diesel and electric hybrid,2,2021
April,Wexford,Petrol and electric hybrid,36,2021
April,Wexford,Electric,23,2021
April,Wexford,Petrol or Diesel plug-in hybrid electric,15,2021
April,Wexford,Diesel and electric hybrid,7,2021
April,Wicklow,Petrol and electric hybrid,15,2021
April,Wicklow,Electric,26,2021
April,Wicklow,Petrol or Diesel plug-in hybrid electric,26,2021
April,Wicklow,Diesel and electric hybrid,2,2021
April,Limerick,Petrol and electric hybrid,44,2021
April,Limerick,Electric,21,2021
April,Limerick,Petrol or Diesel plug-in hybrid electric,23,2021
April,Limerick,Diesel and electric hybrid,3,2021
April,Waterford,Petrol and electric hybrid,19,2021
April,Waterford,Electric,12,2021
April,Waterford,Petrol or Diesel plug-in hybrid electric,14,2021
April,Waterford,Diesel and electric hybrid,6,2021
April,Tipperary,Petrol and electric hybrid,20,2021
April,Tipperary,Electric,12,2021
April,Tipperary,Petrol or Diesel plug-in hybrid electric,20,2021
April,Tipperary,Diesel and electric hybrid,12,2021
April,Cork,Petrol and electric hybrid,133,2021
April,Cork,Electric,67,2021
April,Cork,Petrol or Diesel plug-in hybrid electric,89,2021
April,Cork,Diesel and electric hybrid,17,2021
April,Dublin,Petrol and electric hybrid,418,2021
April,Dublin,Electric,311,2021
April,Dublin,Petrol or Diesel plug-in hybrid electric,317,2021
April,Dublin,Diesel and electric hybrid,33,2021
May,Carlow,Petrol and electric hybrid,6,2021
May,Carlow,Electric,3,2021
May,Carlow,Petrol or Diesel plug-in hybrid electric,2,2021
May,Carlow,Diesel and electric hybrid,2,2021
May,Cavan,Petrol and electric hybrid,8,2021
May,Cavan,Electric,5,2021
May,Cavan,Petrol or Diesel plug-in hybrid electric,6,2021
May,Cavan,Diesel and electric hybrid,3,2021
May,Clare,Petrol and electric hybrid,15,2021
May,Clare,Electric,12,2021
May,Clare,Petrol or Diesel plug-in hybrid electric,10,2021
May,Clare,Diesel and electric hybrid,5,2021
May,Donegal,Petrol and electric hybrid,12,2021
May,Donegal,Electric,6,2021
May,Donegal,Petrol or Diesel plug-in hybrid electric,13,2021
May,Donegal,Diesel and electric hybrid,3,2021
May,Galway,Petrol and electric hybrid,46,2021
May,Galway,Electric,28,2021
May,Galway,Petrol or Diesel plug-in hybrid electric,29,2021
May,Galway,Diesel and electric hybrid,0,2021
May,Kerry,Petrol and electric hybrid,14,2021
May,Kerry,Electric,7,2021
May,Kerry,Petrol or Diesel plug-in hybrid electric,2,2021
May,Kerry,Diesel and electric hybrid,6,2021
May,Kildare,Petrol and electric hybrid,38,2021
May,Kildare,Electric,31,2021
May,Kildare,Petrol or Diesel plug-in hybrid electric,35,2021
May,Kildare,Diesel and electric hybrid,10,2021
May,Kilkenny,Petrol and electric hybrid,7,2021
May,Kilkenny,Electric,6,2021
May,Kilkenny,Petrol or Diesel plug-in hybrid electric,11,2021
May,Kilkenny,Diesel and electric hybrid,4,2021
May,Laois,Petrol and electric hybrid,8,2021
May,Laois,Electric,2,2021
May,Laois,Petrol or Diesel plug-in hybrid electric,7,2021
May,Laois,Diesel and electric hybrid,3,2021
May,Leitrim,Petrol and electric hybrid,5,2021
May,Leitrim,Electric,1,2021
May,Leitrim,Petrol or Diesel plug-in hybrid electric,0,2021
May,Leitrim,Diesel and electric hybrid,0,2021
May,Longford,Petrol and electric hybrid,8,2021
May,Longford,Electric,1,2021
May,Longford,Petrol or Diesel plug-in hybrid electric,0,2021
May,Longford,Diesel and electric hybrid,1,2021
May,Louth,Petrol and electric hybrid,16,2021
May,Louth,Electric,16,2021
May,Louth,Petrol or Diesel plug-in hybrid electric,11,2021
May,Louth,Diesel and electric hybrid,4,2021
May,Mayo,Petrol and electric hybrid,14,2021
May,Mayo,Electric,9,2021
May,Mayo,Petrol or Diesel plug-in hybrid electric,4,2021
May,Mayo,Diesel and electric hybrid,0,2021
May,Meath,Petrol and electric hybrid,42,2021
May,Meath,Electric,26,2021
May,Meath,Petrol or Diesel plug-in hybrid electric,17,2021
May,Meath,Diesel and electric hybrid,4,2021
May,Monaghan,Petrol and electric hybrid,11,2021
May,Monaghan,Electric,2,2021
May,Monaghan,Petrol or Diesel plug-in hybrid electric,5,2021
May,Monaghan,Diesel and electric hybrid,2,2021
May,Offaly,Petrol and electric hybrid,6,2021
May,Offaly,Electric,3,2021
May,Offaly,Petrol or Diesel plug-in hybrid electric,7,2021
May,Offaly,Diesel and electric hybrid,2,2021
May,Roscommon,Petrol and electric hybrid,10,2021
May,Roscommon,Electric,4,2021
May,Roscommon,Petrol or Diesel plug-in hybrid electric,2,2021
May,Roscommon,Diesel and electric hybrid,0,2021
May,Sligo,Petrol and electric hybrid,11,2021
May,Sligo,Electric,7,2021
May,Sligo,Petrol or Diesel plug-in hybrid electric,8,2021
May,Sligo,Diesel and electric hybrid,1,2021
May,Westmeath,Petrol and electric hybrid,14,2021
May,Westmeath,Electric,8,2021
May,Westmeath,Petrol or Diesel plug-in hybrid electric,10,2021
May,Westmeath,Diesel and electric hybrid,3,2021
May,Wexford,Petrol and electric hybrid,15,2021
May,Wexford,Electric,12,2021
May,Wexford,Petrol or Diesel plug-in hybrid electric,15,2021
May,Wexford,Diesel and electric hybrid,3,2021
May,Wicklow,Petrol and electric hybrid,22,2021
May,Wicklow,Electric,22,2021
May,Wicklow,Petrol or Diesel plug-in hybrid electric,13,2021
May,Wicklow,Diesel and electric hybrid,4,2021
May,Limerick,Petrol and electric hybrid,27,2021
May,Limerick,Electric,10,2021
May,Limerick,Petrol or Diesel plug-in hybrid electric,14,2021
May,Limerick,Diesel and electric hybrid,2,2021
May,Waterford,Petrol and electric hybrid,13,2021
May,Waterford,Electric,11,2021
May,Waterford,Petrol or Diesel plug-in hybrid electric,15,2021
May,Waterford,Diesel and electric hybrid,0,2021
May,Tipperary,Petrol and electric hybrid,15,2021
May,Tipperary,Electric,12,2021
May,Tipperary,Petrol or Diesel plug-in hybrid electric,10,2021
May,Tipperary,Diesel and electric hybrid,2,2021
May,Cork,Petrol and electric hybrid,130,2021
May,Cork,Electric,57,2021
May,Cork,Petrol or Diesel plug-in hybrid electric,64,2021
May,Cork,Diesel and electric hybrid,20,2021
May,Dublin,Petrol and electric hybrid,474,2021
May,Dublin,Electric,351,2021
May,Dublin,Petrol or Diesel plug-in hybrid electric,259,2021
May,Dublin,Diesel and electric hybrid,41,2021
June,Carlow,Petrol and electric hybrid,11,2021
June,Carlow,Electric,3,2021
June,Carlow,Petrol or Diesel plug-in hybrid electric,5,2021
June,Carlow,Diesel and electric hybrid,0,2021
June,Cavan,Petrol and electric hybrid,3,2021
June,Cavan,Electric,3,2021
June,Cavan,Petrol or Diesel plug-in hybrid electric,1,2021
June,Cavan,Diesel and electric hybrid,0,2021
June,Clare,Petrol and electric hybrid,11,2021
June,Clare,Electric,11,2021
June,Clare,Petrol or Diesel plug-in hybrid electric,4,2021
June,Clare,Diesel and electric hybrid,0,2021
